Library Address,Product Description,1st Sub-category,2nd Sub-category
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo bevel geared motors>1FK7 servomotors with bevel gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical worm geared motors>1FK7 servomotors with helical worm gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with gearbox>2-speed gearboxes for SIMOTICS M-1PH8 asynchronous motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FT7 servomotors with series SP+ planetary gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series SP+ planetary gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series NP planetary gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7-DYA G2 servomotors with planetary gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH3 servomotors>1PH3 for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S110 for production machines,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for production machines,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for machine tools,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 Combi for machine tools,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for cranes,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (synchronous)>1PH8 for SINAMICS S120 for production machines,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (synchronous)>1PH8 for SINAMICS S120 for machine tools,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1FE built-in motors>1FE1 built-in motors for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1FE built-in motors>1FE2 built-in motors for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1PH2 built-in motors for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>VPM Voltage Protection Module,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS L linear motors>SIMOTICS L-1FN3 linear motors for SINAMICS S120,,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS L linear motors>Hall-effect sensor box,,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS T torque motors>SIMOTICS T-1FW3 complete torque motors for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS T torque motors>SIMOTICS T-1FW6 built-in torque motors for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Motor spindles>2SP1 motor spindles for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Motor spindles>VPM Voltage Protection Module,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Mechatronic components>Electric cylinders,,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>Mechatronic components>LTS and LTSE complete linear motor axes,,Motion Control Motor,Linear Motor
Drive Technology>Motors>DC motors>SIMOTICS DC,,Industrial Motor,High-Voltage Motor
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with sin/cos 1 Vpp,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with RS422 (TTL),,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with HTL,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with DRIVE-CLiQ,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with SSI,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with EnDat 2.1,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with PROFIBUS DP,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with PROFINET IO,,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Helical Geared Motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Parallel Shaft Geared Motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Bevel Geared Motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Helical Worm Geared Motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Worm Geared Motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Tandem geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Electric-monorail geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo parallel shaft geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo bevel geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical worm geared motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical geared motors>1FK7 servomotors with helical gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo parallel shaft geared motors>1FK7 servomotors with parallel shaft gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo bevel geared motors>1FK7 servomotors with bevel gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical worm geared motors>1FK7 servomotors with helical worm gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with gearbox>2-speed gearboxes for SIMOTICS M-1PH8 asynchronous motors,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FT7 servomotors with series SP+ planetary gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series SP+ planetary gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series NP planetary gearbox,,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7-DYA G2 servomotors with planetary gearbox,,Industrial Motor,Geared Motors
Drive Technology>Converters>Safety extra low-voltage converter>SIMATIC MICRO-DRIVE servo drive system>Built-in drive controllers>Servo converters/PDC drive controllers,,Servo Drives,
Drive Technology>Converters>Safety extra low-voltage converter>SIMATIC MICRO-DRIVE servo drive system>SIMATIC ET 200SP drive controllers>SIMATIC MICRO-DRIVE F-TM ServoDrive,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS V20 basic converters,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G110 standard converters,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G120C compact converters,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G120 standard converters,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G130 Drive converter chassis units,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G150 Drive converter cabinet units,,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Control Units,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Booksize format,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Chassis format,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Blocksize format,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>SIPLUS SINAMICS S120,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Combi,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Combi>SINAMICS S120 booksize compact format,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S120 Chassis Format Units,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S120 Cabinet Modules,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S150 Converter Cabinet Units,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S210 servo drive system,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS V90 basic servo drive system,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S110 servo drives,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S120 built-in units,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S120M distributed servo drive,,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G120X infrastructure converters for HVAC/Water/Wastewater,,Low/Medium Voltage Drives,High Performance
"Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G120P and G120P Cabinet pump, fan, compressor converters",,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G180,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>LOHER DYNAVERT Drive System,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G110D distributed converters,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G110M distributed converters,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G120D distributed converters,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>Frequency converters for SIMATIC ET 200pro distributed I/O system,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>MICROMASTER frequency converters,,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>DC converter units>SINAMICS DCM,,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG DC-MASTER,,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG CM,,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG CCP,,DC Drives,
Drive Technology>Converters>DC-DC converter>SINAMICS DCP,,DC Drives,
Market-specific solutions>Machine building>Machine Tools>SINUMERIK 808>SINUMERIK 808D ADVANCED system>SINAMICS V70 servo drive,,Servo Drives,
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS GM150,,Low/Medium Voltage Drives,High Performance
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS SM150,,Low/Medium Voltage Drives,High Performance
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS GL150,,Low/Medium Voltage Drives,High Performance
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250 kW","Power contactor, AC-3",Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT12 and 3TF6 vacuum contactors,"Vacuum contactor, AC-3",Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>3TF2 miniature contactors, 3-pole",miniature contactors,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>3TG10 power relays/miniature contactors,"Power relay, AC-3",Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Reversing contactor assembl>SIRIUS 3RA23 reversing contactor assemblies, up to 55 kW",Reversing contactor assembly AC-3,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Reversing contactor assemblies>SIRIUS 3RT1 reversing contactor assemblies, up to 250 kW",Reversing contactor assembly,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor assemblies for star-delta (wye-delta) starting>SIRIUS 3RA24 contactor assemblies for star-delta (wye-delta) starting, up to 90 kW",Contactor assemblies for star-delta (wye-delta) start AC-3,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor assemblies for star-delta (wye-delta) starting>Contactor assemblies for star-delta (wye-delta) starting consisting of SIRIUS 3RT contactors, up to 500 kW",Contactor assemblies for star-delta (wye-delta) start,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT.4 contactors for weak or non-inductive loads (AC-1), 3-pole up to 2 650 A","Contactor, AC-1",Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT.3 contactors, 4-pole, up to 525 A","Contactor, AC-1",Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT25 contactors, 4-pole, 2 NO + 2 NC",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT26 contactors for capacitive loads (AC-6b), 3-pole",Capacitor contactor,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TK1 contactors for resistive loads (AC-1), 4-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TK20 miniature contactors for resistive loads (AC-1), 4-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>SIRIUS 3RT contactors with extended application range, 3-pole",,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>SIRIUS 3RH2 contactor relays with extended application range,,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>3TH4 contactor relays, 8-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>3TC contactors for switching DC voltage, 2-pole",Contactor,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TC contactors for switching DC voltage, 1-pole and 2-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>SIRIUS 3RH2 contactor relays, 4- and 8-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>3TH4 contactor relays, 8- and 10-pole",,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>3TH2 miniature contactor relays, 4- and 8-pole",,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RQ2 coupling relays with industrial enclosure,,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RS18 coupling relays with industrial enclosure,,Relay,Coupling Relay
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RQ3 coupling relays, narrow design",,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,Plug-in relay,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,Fanning strip 8-pole for RT screw-type terminal,Screw Connection,Plug-in Terminal Block
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,"Plug-in socket
 bracket
 RC element",Installation & Mounting,Socket & Interface
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Instantaneous,Auxiliary switch,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Delayed,//!include:Solid-state time-delayed//,Relay,Timer Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Delayed,Solid-state time-delayed,Contactor,Solid-State Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Surge suppressors,Surge suppressors,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Coupling links for control by PLC,,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>3RA28 function modules,,"Contactor
 Relay","Main & Auxiliary Contactor
 Timer Relay"
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>3RA27 function modules,,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>other,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Solenoid coils,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Contacts,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Arc chambers,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Auxiliary switches>Instantaneous,Auxiliary switch,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Auxiliary switches>Delayed,Solid-state time-delayed,"Contactor
 Relay","Solid-State Contactor
 Timer Relay"
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Surge suppressors,Surge suppressors,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Other,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Solenoid coils,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Contacts,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Arc chambers,,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TC contactors",//!include:surge suppressor//,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TC contactors",Surge suppressors,Surge Protections,For MCR
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Spare parts for 3TC4 and 3TC5 contactors",,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories and spare parts for 3TC7 contactors",//!include:surge suppressor//,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories and spare parts for 3TC7 contactors",Surge suppressors,Surge Protections,For MCR
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TF, 3TG, 3TK miniature contactors",,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TH (miniature) contactor relays",//!include:surge suppressor//,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TH (miniature) contactor relays",Surge suppressors,Surge Protections,For MCR
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Spare parts for 3TH (miniature) contactor relays",,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories and spare parts for 3TK1 contactors",,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3RT12 vacuum contactors>Auxiliary switch blocks,Auxiliary switch,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3RT12 vacuum contactors>Surge suppressors,Surge suppressors,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3RT12 vacuum contactors>Other,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3RT12 vacuum contactors>Solenoid coils,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3RT12 vacuum contactors>Vacuum tubes,,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3TF6 vacuum contactors,Surge suppressors,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3TF6 vacuum contactors,solid-state,Contactor,Solid-State Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT12 and 3TF6 vacuum contactors>For 3TF6 vacuum contactors,"//!include:solid-state,Surge suppressors//",Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Soft starters and solid-state switching devices>SIRIUS 3RW soft starters>High Performance soft starters>3RW55 soft starters,,Motor Management,Soft Starter
