Library Address,Product Description,Main Catgory,1st Sub-category,2nd Sub-category
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo bevel geared motors,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical worm geared motors,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical geared motors>1FK7 servomotors with helical gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo parallel shaft geared motors>1FK7 servomotors with parallel shaft gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo bevel geared motors>1FK7 servomotors with bevel gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical worm geared motors>1FK7 servomotors with helical worm gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with gearbox>2-speed gearboxes for SIMOTICS M-1PH8 asynchronous motors,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FT7 servomotors with series SP+ planetary gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series SP+ planetary gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series NP planetary gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>Motors with planetary gearbox>1FK7-DYA G2 servomotors with planetary gearbox,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH3 servomotors>1PH3 for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S110 for production machines,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for production machines,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for machine tools,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 Combi for machine tools,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (asynchronous)>1PH8 for SINAMICS S120 for cranes,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (synchronous)>1PH8 for SINAMICS S120 for production machines,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>1PH8 servomotors (synchronous)>1PH8 for SINAMICS S120 for machine tools,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1FE built-in motors>1FE1 built-in motors for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1FE built-in motors>1FE2 built-in motors for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>1PH2 built-in motors for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS M main motors>Built-in motors>VPM Voltage Protection Module,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS L linear motors>SIMOTICS L-1FN3 linear motors for SINAMICS S120,,Motor,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS L linear motors>Hall-effect sensor box,,Motor,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS T torque motors>SIMOTICS T-1FW3 complete torque motors for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS T torque motors>SIMOTICS T-1FW6 built-in torque motors for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Motor spindles>2SP1 motor spindles for SINAMICS S120,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Motor spindles>VPM Voltage Protection Module,,Motor,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>Mechatronic components>Electric cylinders,,Motor,Motion Control Motor,Linear Motor
Drive Technology>Motors>Motors for Motion Control>Mechatronic components>LTS and LTSE complete linear motor axes,,Motor,Motion Control Motor,Linear Motor
Drive Technology>Motors>DC motors>SIMOTICS DC,,Motor,Industrial Motor,High-Voltage Motor
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with sin/cos 1 Vpp,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with RS422 (TTL),,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Incremental encoders>Incremental encoders with HTL,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with DRIVE-CLiQ,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with SSI,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with EnDat 2.1,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with PROFIBUS DP,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Motors>Motion Control Encoder measuring systems>Absolute encoders>Absolute encoders with PROFINET IO,,Motor,Motion Control Motor,"Linear Motor
 Rotary Motor"
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Helical Geared Motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Parallel Shaft Geared Motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Bevel Geared Motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Helical Worm Geared Motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Worm Geared Motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Tandem geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>SIMOGEAR Geared Motors>Electric-monorail geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo parallel shaft geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo bevel geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical worm geared motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical geared motors>1FK7 servomotors with helical gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo parallel shaft geared motors>1FK7 servomotors with parallel shaft gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo bevel geared motors>1FK7 servomotors with bevel gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical worm geared motors>1FK7 servomotors with helical worm gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with gearbox>2-speed gearboxes for SIMOTICS M-1PH8 asynchronous motors,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FT7 servomotors with series SP+ planetary gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series SP+ planetary gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7 servomotors with series NP planetary gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Geared Motors>Servo geared motors>Motors with planetary gearbox>1FK7-DYA G2 servomotors with planetary gearbox,,Motor,Industrial Motor,Geared Motors
Drive Technology>Converters>Safety extra low-voltage converter>SIMATIC MICRO-DRIVE servo drive system>Built-in drive controllers>Servo converters/PDC drive controllers,,Drive,Servo Drives,
Drive Technology>Converters>Safety extra low-voltage converter>SIMATIC MICRO-DRIVE servo drive system>SIMATIC ET 200SP drive controllers>SIMATIC MICRO-DRIVE F-TM ServoDrive,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS V20 basic converters,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G110 standard converters,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G120C compact converters,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G120 standard converters,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G130 Drive converter chassis units,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>Standard performance frequency converters>SINAMICS G150 Drive converter cabinet units,,Drive,Low/Medium Voltage Drives,Standard Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Control Units,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Booksize format,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Chassis format,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>Blocksize format,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 built-in units>SIPLUS SINAMICS S120,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Combi,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Combi>SINAMICS S120 booksize compact format,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S120 Chassis Format Units,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S120 Cabinet Modules,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>High performance frequency converters>SINAMICS S120 Chassis Format Units>SINAMICS S150 Converter Cabinet Units,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S210 servo drive system,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS V90 basic servo drive system,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S110 servo drives,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S120 built-in units,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Servo drives>SINAMICS S120M distributed servo drive,,Drive,Servo Drives,
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G120X infrastructure converters for HVAC/Water/Wastewater,,Drive,Low/Medium Voltage Drives,High Performance
"Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G120P and G120P Cabinet pump, fan, compressor converters",,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>SINAMICS G180,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Industry-specific frequency converters>LOHER DYNAVERT Drive System,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G110D distributed converters,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G110M distributed converters,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>SINAMICS G120D distributed converters,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>Distributed frequency converters>Frequency converters for SIMATIC ET 200pro distributed I/O system,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>Low-voltage converters>MICROMASTER frequency converters,,Drive,Low/Medium Voltage Drives,High Performance
Drive Technology>Converters>DC converter units>SINAMICS DCM,,Drive,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG DC-MASTER,,Drive,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG CM,,Drive,DC Drives,
Drive Technology>Converters>DC converter units>SIMOREG CCP,,Drive,DC Drives,
Drive Technology>Converters>DC-DC converter>SINAMICS DCP,,Drive,DC Drives,
Market-specific solutions>Machine building>Machine Tools>SINUMERIK 808>SINUMERIK 808D ADVANCED system>SINAMICS V70 servo drive,,Drive,Servo Drives,
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS GM150,,Drive,Low/Medium Voltage Drives,High Performance
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS SM150,,Drive,Low/Medium Voltage Drives,High Performance
Industrial communication>PROFINET>Drive systems>SINAMICS medium voltage converters>SINAMICS GL150,,Drive,Low/Medium Voltage Drives,High Performance
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT contactors, 3-pole, up to 250 kW","Power contactor, AC-3",Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>SIRIUS 3RT12 and 3TF6 vacuum contactors,"Vacuum contactor, AC-3",Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>3TF2 miniature contactors, 3-pole",miniature contactors,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Power contactors for switching motors>3TG10 power relays/miniature contactors,"Power relay, AC-3",Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Reversing contactor assembl>SIRIUS 3RA23 reversing contactor assemblies, up to 55 kW",Reversing contactor assembly AC-3,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Reversing contactor assemblies>SIRIUS 3RT1 reversing contactor assemblies, up to 250 kW",Reversing contactor assembly,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor assemblies for star-delta (wye-delta) starting>SIRIUS 3RA24 contactor assemblies for star-delta (wye-delta) starting, up to 90 kW",Contactor assemblies for star-delta (wye-delta) start AC-3,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor assemblies for star-delta (wye-delta) starting>Contactor assemblies for star-delta (wye-delta) starting consisting of SIRIUS 3RT contactors, up to 500 kW",Contactor assemblies for star-delta (wye-delta) start,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT.4 contactors for weak or non-inductive loads (AC-1), 3-pole up to 2 650 A","Contactor, AC-1",Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT.3 contactors, 4-pole, up to 525 A","Contactor, AC-1",Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT25 contactors, 4-pole, 2 NO + 2 NC",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>SIRIUS 3RT26 contactors for capacitive loads (AC-6b), 3-pole",Capacitor contactor,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TK1 contactors for resistive loads (AC-1), 4-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TK20 miniature contactors for resistive loads (AC-1), 4-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>SIRIUS 3RT contactors with extended application range, 3-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>SIRIUS 3RH2 contactor relays with extended application range,,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>3TH4 contactor relays, 8-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>Contactors for railway applications>3TC contactors for switching DC voltage, 2-pole",Contactor,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactors for special applications>3TC contactors for switching DC voltage, 1-pole and 2-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>SIRIUS 3RH2 contactor relays, 4- and 8-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>3TH4 contactor relays, 8- and 10-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Contactor realys>3TH2 miniature contactor relays, 4- and 8-pole",,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RQ2 coupling relays with industrial enclosure,,Contactor & Relay,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RS18 coupling relays with industrial enclosure,,Contactor & Relay,Relay,Coupling Relay
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>SIRIUS 3RQ3 coupling relays, narrow design",,Contactor & Relay,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,Plug-in relay,Contactor & Relay,Relay,Coupling Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,Fanning strip 8-pole for RT screw-type terminal,Terminal Block,Screw Connection,Plug-in Terminal Block
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Coupling relays>LZS coupling relays with plug-in relays,"Plug-in socket
 bracket
 RC element",Accessories,Installation & Mounting,Socket & Interface
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Instantaneous,Auxiliary switch,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Delayed,//!include:Solid-state time-delayed//,Contactor & Relay,Relay,Timer Relay
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Auxiliary switch blocks>Delayed,Solid-state time-delayed,Contactor & Relay,Contactor,Solid-State Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Surge suppressors,Surge suppressors,Circuit Protection,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Coupling links for control by PLC,,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>3RA28 function modules,,Contactor & Relay,"Contactor
 Relay","Main & Auxiliary Contactor
 Timer Relay"
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>3RA27 function modules,,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>other,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Solenoid coils,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Contacts,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT2 contactors and SIRIUS 3RH2 contactor relays>Modules for contactor control>Arc chambers,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Auxiliary switches>Instantaneous,Auxiliary switch,Contactor & Relay,Contactor,Main & Auxiliary Contactor
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Auxiliary switches>Delayed,Solid-state time-delayed,Contactor & Relay,"Contactor
 Relay","Solid-State Contactor
 Timer Relay"
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Surge suppressors,Surge suppressors,Circuit Protection,Surge Protections,For MCR
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Other,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Solenoid coils,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Contacts,,Contactor & Relay,Contactor & Relay Accessories,
Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For SIRIUS 3RT1 contactors and SIRIUS 3RH1 contactor relays>Arc chambers,,Contactor & Relay,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TC contactors",//!include:surge suppressor//,Contactor & Relay,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TC contactors",Surge suppressors,Circuit Protection,Surge Protections,For MCR
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Spare parts for 3TC4 and 3TC5 contactors",,Contactor & Relay,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories and spare parts for 3TC7 contactors",//!include:surge suppressor//,Contactor & Relay,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories and spare parts for 3TC7 contactors",Surge suppressors,Circuit Protection,Surge Protections,For MCR
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TF, 3TG, 3TK miniature contactors",,Contactor & Relay,Contactor & Relay Accessories,
"Automation technology>Industrial controls>Switching devices>Contactors and contactor assemblies>Accessories and spare parts>For 3TF, 3TK, 3TC contactors and 3TH auxiliary/miniature contactor relays>Accessories for 3TH (miniature) contactor relays",//!include:surge suppressor//,Contactor & Relay,Contactor & Relay Accessories,
